Constituency,Political Party,Name,Votes
BUGANGAIZI WEST COUNTY,NRM,KASIRIVU BALTAZAR KYAMANYWA ATWOOKI,"18,670"
BUYAGA EAST COUNTY,INDEPENDENT,ALINAITWE GIDEON,"1,647"
BUYAGA EAST COUNTY,NRM,BESISIRA IGNATIUS,"17,841"
BUYAGA EAST COUNTY,FDC,TOTEREBUKA BONIFACE,640
BUYAGA EAST COUNTY,LDT,KASANGAKI HAROUN RASHID,715
BUYAGA EAST COUNTY,DP,TUMWEBAZE THOMAS,488
BUYAGA EAST COUNTY,INDEPENDENT,MUSANA ERIC,"9,788"
BUYAGA WEST COUNTY,INDEPENDENT,TIBALEKA MARCEL,"10,416"
BUYAGA WEST COUNTY,FDC,KUGONZA SYLIVIA,496
BUYAGA WEST COUNTY,NRM,TINKASIIMIRE BARNABAS,"33,491"
BUYAGA WEST COUNTY,INDEPENDENT,TUMWESIGE PONSIANO,"1,262"
BUYANJA COUNTY,INDEPENDENT,ASIIMWE JUDE MAYANJA,816
BUYANJA COUNTY,NRM,KASAIJA MATIA,"15,748"
BUYANJA COUNTY,FDC,MIVULE FRANCIS BIRUNGI,384
BUYANJA COUNTY,INDEPENDENT,BAGUMA ISOKE MATIA,"10,276"
KIBOGA  EAST COUNTY,UFA,KIRABIRA HENRY,931
KIBOGA  EAST COUNTY,NRM,KABAJO JAMES KYEWALABYE,"31,869"
KIBOGA  EAST COUNTY,INDEPENDENT,SSEMAKULA SHADRACK,"2,723"
KIBOGA  EAST COUNTY,INDEPENDENT,KAGGWE MBUGA FRED,"1,822"
BUFUMBIRA COUNTY EAST,NRM,KWIZERA EDDIE WA GAHUNGU,"15,484"
BUFUMBIRA COUNTY EAST,FDC,BARIHIMA HABAKWIHA MATHIAS,390
BUFUMBIRA COUNTY EAST,INDEPENDENT,BUTORO NSABA,"13,921"
BUFUMBIRA COUNTY NORTH,NRM,KAMARA JOHN NIZEYIMANA,"14,245"
BUFUMBIRA COUNTY NORTH,DP,BISHAKA BARNABAS RUSHAGO,100
BUFUMBIRA COUNTY NORTH,FDC,BYARUHANGA JOSEPH,126
BUFUMBIRA COUNTY NORTH,INDEPENDENT,BAHANE SILVER NIYIBIZI,"8,786"
BUFUMBIRA COUNTY SOUTH,INDEPENDENT,TERERAHO JOHN WILSON,"17,200"
BUFUMBIRA COUNTY SOUTH,NRM,BUCYANAYANDI TRESS,"21,074"
BUFUMBIRA COUNTY SOUTH,FDC,MUNYANEZA JOSEPH. P. KANYONI,286
BUFUMBIRA COUNTY SOUTH,INDEPENDENT,SABITI BERNARD,597
CHUA COUNTY,DP,KIBUOTA OJOK JOHANAN OLWENY,803
CHUA COUNTY,UFA,PACOTO RICHARD,627
CHUA COUNTY,INDEPENDENT,ATURU ABRAHAM,"5,862"
CHUA COUNTY,INDEPENDENT,OMONA KIZITO,348
CHUA COUNTY,NRM,ORYEM HENRY OKELLO,"19,356"
CHUA COUNTY,INDEPENDENT,OBALLIM HENRY RACTO,558
CHUA COUNTY,UPC,OKELLO-OKELLO JOHN LIVINGSTONE,"14,047"
CHUA COUNTY,PPD,LUKWIYA WEBSTER CHARLES,283
CHUA COUNTY,FDC,LAKWO MILTON,"4,575"
CHUA COUNTY,INDEPENDENT,LOUM SIMON PETER,391
JIE COUNTY,UFA,AKORE JOHN BOSCO JOKOTAU,632
JIE COUNTY,NRM,LOKII PETER ABRAHAMS,"10,114"
JIE COUNTY,FDC,LOCHAP PAUL,"9,055"
KUMI COUNTY,INDEPENDENT,MARAKA EMMANUEL,"1,754"
KUMI COUNTY,INDEPENDENT,ONYA GEORGE EDWARD,"8,852"
KUMI COUNTY,INDEPENDENT,OKWAKOL STEPHEN OKEDI,868
KUMI COUNTY,NRM,OMUTE JULIUS,"11,955"
KUMI COUNTY,PPP,AKOL SAMUEL,469
KUMI COUNTY,UPC,ORIMAN JULIUS APUNNA,"2,053"
KUMI COUNTY,UFA,LOCHOM PETER,761
KUMI COUNTY,FDC,AMURIAT OBOI PATRICK,"24,542"
ERUTE COUNTY NORTH,UPC,OBONG DAVID,"5,490"
ERUTE COUNTY NORTH,NRM,OMARA GEOFFREY,"8,632"
ERUTE COUNTY NORTH,INDEPENDENT,OKELLO DANIEL,505
ERUTE COUNTY NORTH,INDEPENDENT,ODONGO CHRISTOPHER,"5,974"
ERUTE COUNTY NORTH,INDEPENDENT,ANGIRO GUTOMOI CHARLES,"7,985"
ERUTE COUNTY SOUTH,UPC,ODIT JOHN,"7,147"
ERUTE COUNTY SOUTH,FDC,OKAO JOEL,"10,572"
ERUTE COUNTY SOUTH,NRM,ENGOLA SAM,"25,284"
LIRA MUNICIPALITY,NRM,OKELLO FRANCIS ORECH,"4,566"
LIRA MUNICIPALITY,UPC,AKENA JAMES MICHARL JIMMY,"18,778"
LIRA MUNICIPALITY,INDEPENDENT,SSEGAWA NEHEMIAH JIMMY EBIL,201
LIRA MUNICIPALITY,INDEPENDENT,OWINO EMMANUEL,217
BAMUNANIKA COUNTY,INDEPENDENT,MUYINGO JOHN CHRYSOSTOM,"28,197"
BAMUNANIKA COUNTY,NRM,NDAWULA ALI SEKYANZI,"10,115"
BAMUNANIKA COUNTY,INDEPENDENT,SERUBIDDE DANIEL,681
BAMUNANIKA COUNTY,INDEPENDENT,KATENDE UMAR,251
KATIKAMU COUNTY NORTH,DP,NABUKENYA BRENDA,"3,434"
KATIKAMU COUNTY NORTH,FIL,KASAGGA RONALD,158
KATIKAMU COUNTY NORTH,UPC,KAMYA ALBERT,96
KATIKAMU COUNTY NORTH,NRM,BYANDALA ABRAHAM JAMES,"12,560"
KATIKAMU COUNTY NORTH,INDEPENDENT,WAMALA PAUL,291
KATIKAMU COUNTY NORTH,INDEPENDENT,ALIGAWESA PHILIP,"7,319"
KATIKAMU COUNTY NORTH,INDEPENDENT,MUKALAZI HAROON KADDU,"6,156"
KATIKAMU COUNTY NORTH,CP,NYOMBI SOLOMON,355
KATIKAMU COUNTY SOUTH,NRM,KHIDDU MAKUBUYA EDWARD,"19,525"
KATIKAMU COUNTY SOUTH,DP,LULE DAVID MUZZANGANDA,"5,021"
KATIKAMU COUNTY SOUTH,FDC,KINTU MICHEAL,"4,869"
KATIKAMU COUNTY SOUTH,INDEPENDENT,KABUGO CHARLES KAKUNTA,"1,338"
KATIKAMU COUNTY SOUTH,INDEPENDENT,KIJJAMBU SUSAN,"1,581"
KATIKAMU COUNTY SOUTH,INDEPENDENT,SSEMAKULA GEORGE,"1,684"
BUKOTO COUNTY CENTRAL,INDEPENDENT,MUWULYA STEPHEN,0
BUKOTO COUNTY CENTRAL,INDEPENDENT,MWANJE ABDU NASSER SSENABULYA,"1,424"
BUKOTO COUNTY CENTRAL,DP,MBABAALI JUDE,"10,146"
BUKOTO COUNTY CENTRAL,NRM,SSEKANDI EDWARD KIWANUKA,"11,380"
BUKOTO COUNTY EAST,INDEPENDENT,BWOGI ABBAS BALUWUNE,37
BUKOTO COUNTY EAST,FDC,JUUKO JUSTIN,246
BUKOTO COUNTY EAST,DP,NAMAYANJA FLORENCE,"15,196"
BUKOTO COUNTY EAST,NRM,ALINTUMA JOHN C. NSAMBU,"12,927"
MASAKA MUNICIPALITY,DP,KAWANGA JOHN BAPTIST,3382
MASAKA MUNICIPALITY,NRM,KIZZA MUJOOBE FRANCIS XAVIER,5537
MASAKA MUNICIPALITY,INDEPENDENT,SSENNYONDO KAWOOYA GODFREY,322
MASAKA MUNICIPALITY,INDEPENDENT,MUTESASIRA PETER,80
MASAKA MUNICIPALITY,INDEPENDENT,NAKAWUKI SUSAN,2698
MASAKA MUNICIPALITY,INDEPENDENT,MPUUGA MATHIAS,15103
BUJENJE COUNTY,NRM,KABAKUMBA MASIKO LABWONI,"10,165"
BUJENJE COUNTY,SDP,KAMULINDWA GIFFEN ROBERT,653
BUJENJE COUNTY,FDC,KIIZA DANIEL,342
BUJENJE COUNTY,INDEPENDENT,OLEMA JUSTO,497
BUJENJE COUNTY,INDEPENDENT,KYOTASOBORO PHINEHAS,"9,473"
BUJENJE COUNTY,INDEPENDENT,MUSINGUZI GODGREY,"2,715"
BURULI COUNTY,NRM,NYIIRA ZERUBABEL MIJUMBI,"10,630"
BURULI COUNTY,INDEPENDENT,KAAHWA ERISA AMOOTI,"7,499"
BURULI COUNTY,INDEPENDENT,NYAKOJO ISMAIL ABWOOLI,981
MASINDI MUNICIPALITY,NRM,KIIZA MONDAY ERNEST APUULI,"16,395"
MASINDI MUNICIPALITY,UPC,KAZIMBIRAINE MAHMOUD GAHWERA AKIIKI,202
MASINDI MUNICIPALITY,FDC,TUGUME MOSES KIBBOTO BYENSI,"7,548"
BUNGOKHO COUNTY NORTH,UPC,KISODA SAFIYI MAFABI,173
BUNGOKHO COUNTY NORTH,FDC,RABBI GERSHOM SIZOMU WAMBEDDE,"14,956"
BUNGOKHO COUNTY NORTH,LDT,MADOYI SULAIT,126
BUNGOKHO COUNTY NORTH,NRM,GUDOI YAHAYA,"16,771"
BUNGOKHO COUNTY NORTH,INDEPENDENT,MASHATE PETER MAGOMU,"3,512"
BUNGOKHO COUNTY NORTH,INDEPENDENT,SEGAWA ISSA,"2,781"
BUNGOKHO COUNTY NORTH,INDEPENDENT,MAGOMU MZAMIL MUMEYA,745
BUNGOKHO COUNTY NORTH,INDEPENDENT,WAMBEDE JAMES,242
BUNGOKHO COUNTY SOUTH,INDEPENDENT,WALUMBE LEO VINCENT SEMU,348
BUNGOKHO COUNTY SOUTH,FDC,WANDA MARTIN BEN,"12,687"
BUNGOKHO COUNTY SOUTH,DP,NAPOLI APOLLO,212
BUNGOKHO COUNTY SOUTH,NRM,KAFABUSA WERIKHE MICHAEL,"24,897"
BUNGOKHO COUNTY SOUTH,UPC,WANDEKA SAM MUSAMALI,247
BUNGOKHO COUNTY SOUTH,INDEPENDENT,WAMAYE PAUL WAMIMBI,304
BUNGOKHO COUNTY SOUTH,INDEPENDENT,MUSAMALI MARTIN,"3,216"
BUNGOKHO COUNTY SOUTH,INDEPENDENT,WETAYA PAUL,"9,481"
MBALE MUNICIPALITY,INDEPENDENT,MAYUMBA JUSTIN BUSIMA,143
MBALE MUNICIPALITY,INDEPENDENT,MASABA RICHARD WAMALIA,"3,420"
MBALE MUNICIPALITY,UPC,SAKWA JOSEPH ERIC,114
MBALE MUNICIPALITY,FDC,WAMANGA WAMAI JACK,"13,701"
MBALE MUNICIPALITY,NRM,SHINYABULO-MUTENDE JAMES ANTHONY,"7,333"
MBALE MUNICIPALITY,INDEPENDENT,SIMBA ELISHA,114
KASHARI COUNTY,INDEPENDENT,MWIINE WILSON RWAKANENGYERE,"12,478"
KASHARI COUNTY,INDEPENDENT,TIBAMANYA URBAW,"14,700"
KASHARI COUNTY,UFA,TWINOMUJUNI KAMARA EMMANUEL,548
KASHARI COUNTY,UPC,NUWAGABA MOSES KABANDIZE,517
KASHARI COUNTY,FDC,NUWAGIRA DANIEL,"1,278"
KASHARI COUNTY,NRM,YAGUMA WILBERFORCE,"26,595"
RWAMPARA COUNTY,NRM,MUJUNI VICENT KYAMADIDI,"40,506"
RWAMPARA COUNTY,FDC,KAZOOBA ISRAEL TUKWATANISE,"2,728"
RWAMPARA COUNTY,INDEPENDENT,MUYAMBI ELLADY,443
RWAMPARA COUNTY,INDEPENDENT,SANDE ERICK KANYABIGYEGA,"1,413"
RWAMPARA COUNTY,INDEPENDENT,NKWASIBWE JULIUS KATOOTO,887
RWAMPARA COUNTY,INDEPENDENT,NGABIRANO CHARLES,109
MBARARA MUNICIPALITY,INDEPENDENT,RUTAHABA KASHAIJA NICKODEMUS,484
MBARARA MUNICIPALITY,NRM,BITEKYEREZO KAB MEDARD,"12,553"
MBARARA MUNICIPALITY,FDC,BASHAIJA KAZOORA JOHN,"8,846"
MBARARA MUNICIPALITY,UFA,NAHAMYA JOSEPH STUART,194
MBARARA MUNICIPALITY,INDEPENDENT,TUSIIME MICHAEL,"9,666"
MATHENIKO COUNTY,INDEPENDENT,ACHIA PETER EDISON,"1,925"
MATHENIKO COUNTY,INDEPENDENT,ABURA SAMUEL PIRIR,"2,549"
MATHENIKO COUNTY,NRM,LOKII JOHN BAPTIST,"4,817"
MATHENIKO COUNTY,FDC,LOGIT ROBERT,"2,257"
MOROTO MUNICIPALITY,INDEPENDENT,OGWEL LOOTE SAMMY,292
MOROTO MUNICIPALITY,INDEPENDENT,ANGELLA FRED,745
MOROTO MUNICIPALITY,UPC,PULKOL DAVID BWANGA-MOE,620
MOROTO MUNICIPALITY,NRM,ALEPER SIMON PETER,"1,496"
MOROTO MUNICIPALITY,DP,NYEKO MOSES,111
OBONGI COUNTY,NRM,AZABO RASHID KHALILI,"2,383"
OBONGI COUNTY,FDC,FUNGAROO KAPS HASSAN,"6,024"
OBONGI COUNTY,UPC,DROMA MORRIS OKELLO,46
OBONGI COUNTY,INDEPENDENT,ANYAMA MOSES REMSON,485
OBONGI COUNTY,INDEPENDENT,AMASI PATAKI LEONARD,469
WEST MOYO COUNTY,INDEPENDENT,ANYAMA WILLIAMS,"6,928"
WEST MOYO COUNTY,DP,RUGGA ONZO ELLIS,437
WEST MOYO COUNTY,FDC,ANDEVU GODFREY ENDEVIOURS CAESAR,970
WEST MOYO COUNTY,UPC,APILIGA MOSES TAKO,"3,431"
WEST MOYO COUNTY,NRM,ALERO TOM AZA,"8,953"
MAWOKOTA COUNTY NORTH,INDEPENDENT,SSEMAMBO EDWARD,122
MAWOKOTA COUNTY NORTH,DP,TEBUSWEKE DAVID MAYINJA,"2,520"
MAWOKOTA COUNTY NORTH,FDC,BUWEMBO SHAFIK,161
MAWOKOTA COUNTY NORTH,NRM,KYAMBADDE AMELIA ANNE,"22,207"
MAWOKOTA COUNTY NORTH,JEEMA,KAWEESA AHMED BIGALI,98
MAWOKOTA COUNTY NORTH,INDEPENDENT,MUTULUUZA PETER CLAVER,"11,878"
MAWOKOTA COUNTY SOUTH,CP,WASAJJA FREDRICK KAYEMBA,37
MAWOKOTA COUNTY SOUTH,NRM,SSEGUYA JOHN BOSCO LUBYAYI,"14,314"
MAWOKOTA COUNTY SOUTH,FDC,SSENKATUUKA LIVINGSTONE,68
MAWOKOTA COUNTY SOUTH,INDEPENDENT,KAWUKI SIMON PETER,140
MAWOKOTA COUNTY SOUTH,INDEPENDENT,KIYINGI BBOSA KENNETH JOSEPH,"17,585"
BUWEKULA COUNTY,INDEPENDENT,SENDEGEYA GERESIAN,877
BUWEKULA COUNTY,INDEPENDENT,KISAAKYE ARCHILIES SSENYONJO,"4,837"
BUWEKULA COUNTY,FDC,KWIRINGIRA ASANASIO,866
BUWEKULA COUNTY,NRM,SSEMMULI ANTHONY,"25,976"
BUWEKULA COUNTY,INDEPENDENT,BALEKE KAYIIRA PETER,"11,273"
KASAMBYA COUNTY,NRM,MULINDWA PATRICK,"30,743"
KASAMBYA COUNTY,INDEPENDENT,BWERERE KASOLE LWANGA EDWARD,"5,329"
KASAMBYA COUNTY,INDEPENDENT,SEMAHORO RUKEEBA EDISON,"7,429"
KASSANDA COUNTY NORTH,NRM,SSALABAYA HARUUNA,"17,758"
KASSANDA COUNTY NORTH,INDEPENDENT,NAKAZIBWE ANNET,478
KASSANDA COUNTY NORTH,SDP,MABIKE WALUSIMBI WILBERFORCE,186
KASSANDA COUNTY NORTH,DP,KAMULEGEYA WILLIAM,632
KASSANDA COUNTY NORTH,INDEPENDENT,LUBEGA KHALID,"2,035"
KASSANDA COUNTY NORTH,LDT,SEMWANGA JOSEPH AMMER,382
KASSANDA COUNTY NORTH,INDEPENDENT,LUBEGA GODFREY,"18,705"
KASSANDA COUNTY SOUTH,INDEPENDENT,LUKWAGO MOSES,163
KASSANDA COUNTY SOUTH,INDEPENDENT,KABAYO JOHN PATRICK,"6,243"
KASSANDA COUNTY SOUTH,PPP,KASOZI ROBERT,276
KASSANDA COUNTY SOUTH,FDC,KIBUKA MUKALAZI,663
KASSANDA COUNTY SOUTH,DP,SERWANIKO ANTHONY BYANSI,470
KASSANDA COUNTY SOUTH,NRM,NYOMBI THEMBO GEORGE WILLIAM,"14,659"
KASSANDA COUNTY SOUTH,INDEPENDENT,KABUUKA ELIMETHIDAS,172
MUKONO COUNTY NORTH,INDEPENDENT,NABUKEERA HUSSEIN HANIFAH,"3,341"
MUKONO COUNTY NORTH,UPC,MPALANYI CHRISTOPHER,226
MUKONO COUNTY NORTH,DP,MUTYABA STEPHEN,"1,200"
MUKONO COUNTY NORTH,NRM,KIBUULE RONALD,"13,343"
MUKONO COUNTY NORTH,FDC,BAKUBI LUKUBIRA MOSES,"1,959"
MUKONO COUNTY NORTH,UFA,NSIMBI ALI RAJAB,463
MUKONO COUNTY SOUTH,INDEPENDENT,NALUGO MARY MARGARET SEKIZIYIVU,"7,011"
MUKONO COUNTY SOUTH,NRM,BAKALUBA MUKASA PETER,"14,930"
MUKONO COUNTY SOUTH,DP,KIYAGA JOVAN NAMAKAJJO,"1,196"
MUKONO COUNTY SOUTH,FDC,SSEKATO TIMOTHY,"1,867"
MUKONO COUNTY SOUTH,INDEPENDENT,MUTEMA DERRICK,"4,632"
MUKONO MUNICIPALITY,DP,BAKIREKE NAMBOOZE BETTY,"26,184"
MUKONO MUNICIPALITY,PPP,MUTYABA MATHEW,169
MUKONO MUNICIPALITY,NRM,YIGA BEATRICE NAKAGGWA,"12,444"
MUKONO MUNICIPALITY,UFA,KIZITO CHARLES JAMES,453
MUKONO MUNICIPALITY,INDEPENDENT,ZIMULA MUKWAYA RICHARD MILES,185
NAKIFUMA COUNTY,JEEMA,MUKASA ABDALLAH,610
NAKIFUMA COUNTY,FDC,SEBALU ROBERT MUYIZZI,"2,739"
NAKIFUMA COUNTY,INDEPENDENT,NAKILIZA PROSSY,"5,127"
NAKIFUMA COUNTY,INDEPENDENT,LUZINDA HASSAN M.,600
NAKIFUMA COUNTY,NRM,MUGAMBE JOSEPH KIFOMUSANA,"13,162"
NAKIFUMA COUNTY,INDEPENDENT,SSEMAKULA HABIIB MUSA K.,"1,840"
NAKIFUMA COUNTY,INDEPENDENT,SSIMBWA K. LEONARD,"1,400"
NAKIFUMA COUNTY,INDEPENDENT,KAFEERO SSEKITOLEKO ROBERT,"13,178"
NAKIFUMA COUNTY,DP,SSENABULYA DAVID KATEREGGA,"2,642"
JONAM COUNTY,UPC,OPOKA-OKUMU CHRIS,"2,278"
JONAM COUNTY,NRM,JACAN OMACH FRED MANDIR,"15,483"
JONAM COUNTY,FDC,ONGIERTHO EMMANUEL,"12,912"
JONAM COUNTY,INDEPENDENT,ONEGI-OBEL APOLLO DASCIO,"4,637"
PADYERE COUNTY,NRM,ODOCH PASCAL WATHUM,"20,221"
PADYERE COUNTY,UPC,ULAMA DISON DUKE OKERSON,"2,230"
PADYERE COUNTY,SDP,SHABAN SAID,550
PADYERE COUNTY,FDC,ONEGA ROBERT,"4,261"
PADYERE COUNTY,INDEPENDENT,ANYWARACH JOSHUA CARTER,"25,565"
PADYERE COUNTY,INDEPENDENT,OKUMU-RINGA PATRICK ALOYSIUS,"3,061"
KAJARA COUNTY,NRM,TASHOBYA N. STEPHEN,"25,782"
KAJARA COUNTY,FDC,AHABWE VENANSIO KABUNAKUKI,"9,441"
NTUNGAMO MUNICIPALITY,FDC,KANYOMOZI YONASANI BANKOBEZA,"1,902"
NTUNGAMO MUNICIPALITY,NRM,MUSINGUZI YONA,"3,874"
NTUNGAMO MUNICIPALITY,UFA,MUGABE GERSHOM,36
RUHAAMA COUNTY,INDEPENDENT,ABAINE ELLIAS,381
RUHAAMA COUNTY,FDC,RUZINDANA AUGUSTINE,"8,077"
RUHAAMA COUNTY,UFA,MUSASIZI HANNINGTON,957
RUHAAMA COUNTY,NRM,KATAAHA JANET MUSEVENI,"57,556"
RUSHENYI COUNTY,NRM,RUKUTANA MWESIGWA,"30,447"
RUSHENYI COUNTY,FDC,MAGARA BAMWINE NATHAN,"8,233"
AGULE COUNTY,INDEPENDENT,OURUM OKIROR SAM,"7,075"
AGULE COUNTY,INDEPENDENT,OPANGE LOUIS,"8,567"
AGULE COUNTY,FDC,OKELLO OKIRIA THOMAS,976
AGULE COUNTY,NRM,OCHWA DAVID,"10,614"
BUTEBO COUNTY,NRM,MALLINGA STEPHEN OSCAR,"14,573"
BUTEBO COUNTY,UPC,OBUYA GEOFFREY JOHN,252
BUTEBO COUNTY,INDEPENDENT,LODOI PATRICK MUTONO,"11,151"
BUTEBO COUNTY,INDEPENDENT,KASHODO ERIA,101
BUTEBO COUNTY,INDEPENDENT,OSEKU ORIEBO RICHARD ANTHONY,"9,204"
PALLISA COUNTY,UFA,ITIKO MOSES,514
PALLISA COUNTY,UPC,ENGURIAT CHARLES OPOLOT,130
PALLISA COUNTY,FDC,ADOME ANTHONY,"1,070"
PALLISA COUNTY,NRM,OPOLOT JACOB RICHARDS,"15,627"
PALLISA COUNTY,INDEPENDENT,TATAMBUKA ROGERS,"7,642"
PALLISA COUNTY,INDEPENDENT,KAKUBA SULTAN JUMA,"2,828"
PALLISA COUNTY,PPP,OCEN JAMES,682
KAKUUTO COUNTY,INDEPENDENT,KALEMA PETERO,211
KAKUUTO COUNTY,NRM,KASAMBA MATHIAS,"13,006"
KAKUUTO COUNTY,FIL,KIZITO DEO LUKYAMUZI,"8,331"
KAKUUTO COUNTY,DP,KAGGWA GODFREY,286
KAKUUTO COUNTY,FDC,WASWA SENTANDA GEOFFREY,517
KAKUUTO COUNTY,INDEPENDENT,SSERWANGA SAMUEL,"3,952"
KOOKI COUNTY,FDC,KAYIMA OSBORN DESIRE,"2,156"
KOOKI COUNTY,UFA,BAREKYE ALI TURYAHIKAYO,383
KOOKI COUNTY,NRM,MANDERA AMOS,"39,114"
KOOKI COUNTY,INDEPENDENT,KANSIIME BENON,394
KOOKI COUNTY,INDEPENDENT,BAGENDA SSENFUKA,"1,487"
KOOKI COUNTY,INDEPENDENT,MAGULUMAALI ERASMUS MUGUMYA,"11,150"
KOOKI COUNTY,INDEPENDENT,KASIIBA JOHN,"1,336"
KYOTERA COUNTY,INDEPENDENT,SSEMUJU HERMAN JOSEPH MUKASA,"1,089"
KYOTERA COUNTY,INDEPENDENT,KYEYUNE HARUN,"18,097"
KYOTERA COUNTY,DP,SSEBUWUFU JOHN MARY,"2,821"
KYOTERA COUNTY,NRM,MUJUZI PIUS,"12,538"
KYOTERA COUNTY,INDEPENDENT,LUBEGA DAMIAN W. K.,"5,231"
RUBABO COUNTY,INDEPENDENT,TUSIIMIRE AMON,634
RUBABO COUNTY,INDEPENDENT,TUSHABOMWE DAVID NDINDIRIZE,"13,021"
RUBABO COUNTY,INDEPENDENT,MUGARURA GEORGE,162
RUBABO COUNTY,FDC,MUGYENZI KIFAAKU RICHARD,"4,946"
RUBABO COUNTY,NRM,TURYAHIKAYO KEBIRUNGI MARY PAULA,"25,721"
RUJUMBURA COUNTY,NRM,MUHWEZI JIM KATUGUGU,"25,034"
RUJUMBURA COUNTY,FDC,TUMUHEIRWE FRED TURYAMUHWEZA,"18,571"
RUJUMBURA COUNTY,UFA,TUGUME FRANCO,255
RUJUMBURA COUNTY,INDEPENDENT,KATO MOSES,286
RUJUMBURA COUNTY,INDEPENDENT,RWOMUSHANA CHARLES,410
RUKUNGIRI MUNICIPALITY,INDEPENDENT,AGABA OSBERT MURIISA,173
RUKUNGIRI MUNICIPALITY,INDEPENDENT,RUTAHIGWA ELISA,"2,094"
RUKUNGIRI MUNICIPALITY,NRM,KAKURANGA RUHINDI SILVER,"3,862"
RUKUNGIRI MUNICIPALITY,FDC,MUGUME ROLAND,"6,516"
RUKUNGIRI MUNICIPALITY,UFA,MUGARURA ROGERS,204
SOROTI COUNTY,INDEPENDENT,LULE JOHN,895
SOROTI COUNTY,INDEPENDENT,ANYOLO SAMUEL,"3,557"
SOROTI COUNTY,INDEPENDENT,OPIT WILLIAM,"1,308"
SOROTI COUNTY,INDEPENDENT,EBITU SIMON PETER,768
SOROTI COUNTY,NRM,ENOMU VINCENT I.,"15,543"
SOROTI COUNTY,FDC,OMOLO PETER,"22,848"
SOROTI COUNTY,UPC,OKAE ENGIROT LAWRENCE,"2,604"
SOROTI COUNTY,PPP,ORIOKOT JIMMY,911
SOROTI COUNTY,DP,OKOROPOT RAPHAEL,"4,173"
SOROTI MUNICIPALITY,UPC,EGWAU GODFREY,632
SOROTI MUNICIPALITY,FDC,ATTAN OKIA MOSES,"6,098"
SOROTI MUNICIPALITY,INDEPENDENT,OJUR PETER,213
SOROTI MUNICIPALITY,INDEPENDENT,EKEMU CHARLES WILLY,248
SOROTI MUNICIPALITY,NRM,MUKULA GEORGE MICHAEL,"9,167"
TORORO COUNTY,FDC,EKANYA GEOFREY,"17,382"
TORORO COUNTY,NRM,OMITA EDWARD OTHENO MARK,"8,949"
TORORO COUNTY,UPC,OSINDE MICHAEL,"1,063"
TORORO COUNTY,INDEPENDENT,OJORE RICHARD,"11,533"
TORORO COUNTY,INDEPENDENT,OCHWO GODFREY,143
TORORO COUNTY,INDEPENDENT,OLOWO VINCENT,287
